INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:43:12,449 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:43:12,631 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:43:12,635 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:43:12,715 - Initializing EhCache CacheManager
ERROR [main] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:43:12,799 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:43:12,814 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:43:12,823 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:43:12,826 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6b9006c0: startup date [Sun Oct 08 13:43:12 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:43:12,951 - Root WebApplicationContext: initialization completed in 579 ms
INFO  [net.sf.ehcache.CacheManager@54f0a2f5] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:43:14,015 - This is the latest GA release.
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:46:45,257 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:43:12 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:46:45,257 - Closing org.springframework.web.context.support.GenericWebApplicationContext@6b9006c0: startup date [Sun Oct 08 13:43:12 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:46:45,258 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:50:47,103 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:50:47,160 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:50:47 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:50:47,197 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:50:47,391 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:50:47,397 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:50:47,492 - Initializing EhCache CacheManager
ERROR [main] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:50:47,591 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:50:47,610 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:50:47,619 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:50:47,623 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7cb93198: startup date [Sun Oct 08 13:50:47 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:50:47,880 - Root WebApplicationContext: initialization completed in 776 ms
INFO  [net.sf.ehcache.CacheManager@32f7ad71] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:50:48,782 - This is the latest GA release.
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:03:46,922 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:50:47 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:03:46,923 - Closing org.springframework.web.context.support.GenericWebApplicationContext@7cb93198: startup date [Sun Oct 08 13:50:47 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 14:03:46,924 - Shutting down EhCache CacheManager
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 14:03:49,756 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:03:49,814 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 14:03:49 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:03:49,846 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 14:03:50,033 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 14:03:50,038 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 14:03:50,133 - Initializing EhCache CacheManager
ERROR [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 14:03:50,224 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 14:03:50,241 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:03:50,251 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:03:50,254 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1bacb5f4: startup date [Sun Oct 08 14:03:50 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 14:03:50,392 - Root WebApplicationContext: initialization completed in 635 ms
INFO  [net.sf.ehcache.CacheManager@2289b5a6] net.sf.ehcache.util.UpdateChecker 2017-10-08 14:03:51,420 - This is the latest GA release.
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 14:04:57,098 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:04:57,154 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 14:04:57 BST 2017]; root of context hierarchy
