INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:38:23,283 - Mapped URL path [/findCity] onto handler 'findCityController'
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:38:23,283 - Mapped URL path [/findCity.*] onto handler 'findCityController'
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:38:23,283 - Mapped URL path [/findCity/] onto handler 'findCityController'
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.servlet.DispatcherServlet 2017-10-08 13:38:23,340 - FrameworkServlet 'AjaxServlet': initialization completed in 87 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:39:44,395 - Closing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:38:23 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:39:44,396 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:38:22 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:39:44,443 - Closing org.springframework.web.context.support.GenericWebApplicationContext@6314bc49: startup date [Sun Oct 08 13:38:22 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:39:44,444 - Shutting down EhCache CacheManager
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:40:00,864 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:40:00,918 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:40:00 BST 2017]; root of context hierarchy
