INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 15:43:07,829 - Closing Root WebApplicationContext: startup date [Sun Oct 08 15:40:18 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 15:43:07,830 - Closing org.springframework.web.context.support.GenericWebApplicationContext@bef6ec2: startup date [Sun Oct 08 15:40:18 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 15:44:34,207 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 15:44:34,261 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 15:44:34 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 15:44:34,289 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 15:44:34,493 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 15:44:34,577 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 15:44:34,627 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 15:44:34,635 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2b4313c2: startup date [Sun Oct 08 15:44:34 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 15:44:34,792 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 15:44:34,829 - Root WebApplicationContext: initialization completed in 620 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 15:46:28,168 - Closing Root WebApplicationContext: startup date [Sun Oct 08 15:44:34 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 15:46:28,169 - Closing org.springframework.web.context.support.GenericWebApplicationContext@2b4313c2: startup date [Sun Oct 08 15:44:34 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 15:54:43,890 - Root WebApplicationContext: initialization started
